,ticker,close,strong,dd,fresh,r5,spy5,x5,r20,spy20,x20,r60,spy60,x60,r120,spy120,x120,r250,spy250,x250,worst60
2024-06-27,QCOM,195.15,True,-0.15383948315483675,True,0.0543171919036638,0.015136262971978676,0.03918092893168512,-0.07737637714578527,-0.0035324047806430947,-0.07384397236514217,-0.14957724827056107,0.04264509398393024,-0.1922223422544913,-0.19077632590315152,0.10600874865018195,-0.29678507455333347,-0.18759928260312586,0.12544612625144125,-0.3130454088545671,-0.22423776582116328
2026-05-12,QCOM,210.31,True,-0.15163372327551428,True,-0.06989681898150346,-0.006028339971280605,-0.06386847901022286,-0.09086586467595459,-0.017272210030073953,-0.07359365464588064,-0.2018448956302601,0.04752228453764662,-0.2493671801679067,,,,,,,-0.32057439018591605
2013-02-19,REGN,160.42,True,-0.1509923260121725,True,0.0075427004114201335,-0.021076672104404448,0.02861937251582458,0.09263184141628233,0.008874388254486165,0.08375745316179617,0.7087021568382996,0.08398042414355622,0.6247217326947434,0.5584715122802644,0.10479608482871128,0.4536754274515531,1.0196359556165069,0.2007830342577488,0.8188529213587581,-0.03902256576486718
2013-06-03,REGN,236.07,True,-0.16873833585689646,True,0.07099589104926518,0.0027380590203833766,0.0682578320288818,-0.025119667895115882,-0.018192881046546927,-0.0069267868485689554,0.013131698225102628,-0.006206267112868757,0.019337965337971386,0.16355318337781166,0.085914207484028,0.07763897589378366,0.30029228618630066,0.17237602677213282,0.12791625941416784,-0.12610666327784126
2013-12-11,REGN,270.02,True,-0.1557389863364913,True,0.006295829938523179,0.016674127126230953,-0.010378297187707775,0.016146952077623844,0.03032676812891677,-0.014179816051292926,0.2175764758166061,0.047616383169203136,0.16996009264740297,0.14265609954818181,0.08801477170993732,0.05464132783824449,0.6023627879416342,0.1552708146821844,0.4470919732594498,-0.04566328420117027
2014-04-03,REGN,298.6,True,-0.1528837697523333,True,-0.01667782987273947,-0.02899856862641148,0.012320738753672011,-0.01677829872739467,-0.0030217886868472155,-0.013756510040547454,-0.05401875418620228,0.03758681015745102,-0.0916055643436533,0.2203951774949766,0.05794412341621169,0.16245105407876492,0.47749497655726714,0.09049461909558398,0.38700035746168315,-0.09745478901540527
2015-08-24,REGN,504.58,True,-0.16726354529401077,True,0.01767806888897705,0.04311345646437981,-0.025435387575402757,0.05073526497284875,0.023271767810026267,0.02746349716282248,0.13145586428316625,0.08427440633245387,0.04718145795071238,-0.22359189821237468,0.0014775725593667577,-0.22506947077174144,-0.19873954576083075,0.15324538258575204,-0.3519849283465828,-0.1368663046494114
2017-08-10,REGN,460.08,True,-0.1535645294821083,True,0.008563728047296104,-0.002748605185428188,0.011312333232724292,0.024800034776560675,0.011568756153593762,0.013231278622966913,-0.11230655538167267,0.060264194289465056,-0.17257074967113772,-0.24841331942270906,0.1551526091237283,-0.40356592854643736,-0.18651104155798992,0.17106990482441753,-0.35758094638240745,-0.14241001564945222
2022-05-06,REGN,623.05,True,-0.1663990795001472,True,0.036064521306476305,-0.0233869791413428,0.059451500447819106,-0.022502206885482656,0.0010939855107698904,-0.023596192396252547,-0.022919508867667027,0.007560655418874962,-0.03048016428654199,0.1634379263301502,-0.0762386347060825,0.2396765610362327,0.22317631008747307,0.0031360917975398195,0.22004021828993325,-0.13648984832677946
2024-10-03,REGN,1014.59,True,-0.16232661822985472,True,-0.015346100395233542,0.014634919516748113,-0.029981019911981655,-0.173853477759489,0.0014441196153709424,-0.17529759737485995,-0.30751337978888027,0.035926878236060666,-0.34344025802494094,-0.37180535980051055,-0.02141523722306382,-0.3503901225774467,-0.408628115790615,0.17856010707618597,-0.587188222866801,-0.3169654737381603
2026-04-22,RTX,180.91,True,-0.15659673659673656,True,-0.044884196561826295,0.0005202401541035684,-0.04540443671592986,-0.033497319108949264,0.042237876295327714,-0.07573519540427698,0.07478856890166385,0.043418962050589816,0.03136960685107404,,,,,,,-0.055994693494002545
2014-02-03,SBUX,34.485,True,-0.16400000000000003,True,0.08452950558213712,0.03353045874720095,0.05099904683493617,0.03900246483978531,0.07699374174656959,-0.03799127690678428,0.02392344497607657,0.08118504908996971,-0.05726160411389314,0.14165579237349557,0.13521272320146993,0.0064430691720256394,0.26910250833695804,0.14514554745363717,0.12395696088332087,-0.015079019863708742
2015-08-24,SBUX,50.34,True,-0.15138233310856364,True,0.0868096940802543,0.04311345646437981,0.04369623761587449,0.13468414779499382,0.023271767810026267,0.11141237998496756,0.20282081843464428,0.08427440633245387,0.11854641210219041,0.12058005562177176,0.0014775725593667577,0.119102483062405,0.09137862534763586,0.15324538258575204,-0.06186675723811619,0.01410409217322206
