,ticker,close,ret3y,sma200_rising,strong,hi252,dd,fresh,r5,spy5,x5,r20,spy20,x20,r60,spy60,x60,r120,spy120,x120,r250,spy250,x250,worst60
2022-03-01,MS,87.63,1.0618823529411765,True,True,109.73,-0.20140344481910155,True,-0.04929818555289278,-0.03193171775431425,-0.017366467798578533,0.0480429076800184,0.07342201962882,-0.025379111948801603,-0.061622731941116005,-0.07584073677845482,0.014218004837338816,0.00947164213169005,-0.03867621749848826,0.048147859630178313,0.10122104302179635,-0.07842225219777665,0.179643295219573,-0.12415839324432265
2025-03-11,MS,112.04,0.2973598888374249,True,True,142.03,-0.21115257339998583,True,0.05417707961442342,0.009173981867894643,0.045003097746528775,-0.10469475187433064,-0.10692185926032516,0.00222710738599452,0.16583363084612635,0.06679018563822137,0.09904344520790498,0.32854337736522665,0.15173046481508146,0.1768129125501452,0.43475544448411263,0.21812491005900125,0.21663053442511138,-0.15806854694751882
2020-03-09,MSFT,150.62,1.3388198757763972,True,True,190.7,-0.21017304667016246,True,-0.10091621298632336,-0.12536921562192327,0.024453002635599907,0.09726463949010755,-0.03416839878933742,0.13143303827944497,0.23064666047005722,0.1383874849578821,0.0922591755121751,0.5043154959500731,0.27021113663712937,0.2341043593129437,0.537644403133714,0.3989352003792437,0.1387092027544703,-0.12016996414818748
2014-10-10,MU,27.79,4.614141414141414,True,True,34.85,-0.20258249641319948,True,0.035264483627204024,-0.010863860606696751,0.046128344233900775,0.18783735156531112,0.06717749553899455,0.12065985602631657,0.15509175962576482,0.06177180644484093,0.0933199531809239,-0.01295430010795251,0.09074210139603234,-0.10369640150398485,-0.3263763943864699,0.055998740421958626,-0.38237513480842855,-0.052896725440806036
2015-01-16,MU,28.99,3.0096818810511756,True,True,36.59,-0.20770702377698835,True,0.07002414625733011,0.018945593413678408,0.0510785528436517,0.1152121421179717,0.04205723354659541,0.0731549085713763,-0.028285615729561786,0.043644298963448014,-0.0719299146930098,-0.3939289410141428,0.029013539651837394,-0.42294248066598017,-0.5853742669886168,-0.04810792044834589,-0.537266346540271,-0.11659192825112108
2018-02-05,MU,39.4,0.3572166724078538,True,True,49.89,-0.21026257767087597,True,0.07081218274111678,0.00534232561664072,0.06546985712447606,0.36395939086294415,0.03391050657371264,0.3300488842892315,0.16472081218274126,-0.0027658848937218705,0.16748669707646313,0.36954314720812187,0.0662675709468421,0.30327557626127977,0.0017766497461928488,0.03042473383094002,-0.028648084084747172,-0.04771573604060897
2018-05-02,MU,45.89,0.5829596412556055,True,True,63.42,-0.27641122674235263,True,0.1115711483983437,0.02393617021276606,0.08763497818557764,0.25495750708215303,0.02940729483282678,0.22555021224932625,0.1758553061669208,0.06922492401215807,0.10663038215476273,-0.13358030071911098,0.04487082066869297,-0.17845112138780395,-0.08694704728699065,0.10870060790273572,-0.19564765518972638,-0.012203094356068922
2018-08-10,MU,51.37,1.8730425055928412,True,True,64.66,-0.205536653263223,True,-0.0829277788592564,0.006709987286339869,-0.08963776614559626,-0.12594899746934007,0.01744596694448375,-0.14339496441382382,-0.222892738952696,-0.034503460940811026,-0.188389278011885,-0.23165271559275835,-0.0395536092668457,-0.19209910632591265,-0.19174615534358563,0.029877101285492147,-0.22162325662907778,-0.34163908896242945
2020-03-09,MU,45.97,0.7929017160686427,True,True,61.19,-0.24873345317862394,True,-0.2501631498803567,-0.12536921562192327,-0.12479393425843344,0.008701326952360144,-0.03416839878933742,0.04286972574169756,0.0641722862736569,0.1383874849578821,-0.07421519868422521,-0.029366978464215876,0.27021113663712937,-0.29957811510134524,0.9345225146834895,0.3989352003792437,0.5355873143042458,-0.32281922993256473
2022-01-27,MU,78.72,1.1053757689221717,True,True,98.45,-0.20040629761300155,True,0.04128556910569103,0.03561821723402292,0.005667351871668114,0.14456300813008127,0.015096002226138605,0.12946700590394267,-0.10924796747967469,-0.006330581578703365,-0.10291738590097133,-0.19156504065040647,-0.07524812169557549,-0.11631691895483098,-0.2022357723577236,-0.06142751136258229,-0.14080826099514132,-0.1370680894308942
