universe,case,events,avg 5d,median 5d,vs SPY 5d,beat SPY 5d,avg 20d,median 20d,vs SPY 20d,beat SPY 20d,avg 60d,median 60d,vs SPY 60d,beat SPY 60d,avg 120d,median 120d,vs SPY 120d,beat SPY 120d,avg 250d,median 250d,vs SPY 250d,beat SPY 250d,median worst fall next 60d,fell 10%+ more within 60d,distinct months
top-100 today,"strong stock, 30% below 52w high",202,0.018224136325336794,0.015019959112065107,0.012924720046706532,0.5693069306930693,0.0772009575324439,0.06792751711505629,0.027225712979650287,0.6138613861386139,0.18211693988300903,0.17271912605615758,0.0748137956133319,0.6237623762376238,0.234302051320774,0.17323268328508146,0.08642149172567591,0.5099009900990099,0.4300619483758985,0.3659269147338562,0.1747262666677497,0.5495049504950495,-0.11219081224552002,0.5346534653465347,68
top-100 today,"strong stock, 30% below 52w high, high set <60d ago",99,0.024367643130195116,0.013888016087475696,0.018179189066064798,0.5656565656565656,0.11786716067590138,0.11830468880360412,0.03653963451472244,0.6464646464646465,0.28646732923779095,0.3272341608694709,0.1144207684493196,0.6868686868686869,0.37206306594413835,0.3593734251637828,0.13595023014946234,0.5555555555555556,0.5623688477284828,0.5467854739236,0.19390908728845685,0.6161616161616161,-0.1093449343261107,0.5252525252525253,35
top-100 today,"20% dip, 2011-2018 only",168,0.017900007550742163,0.02074139762190408,0.009404454151872627,0.5654761904761905,0.039575570034226064,0.027041588367790026,0.01717274891327575,0.5297619047619048,0.07210139154880149,0.08303272645391646,0.030129944759066957,0.6190476190476191,0.11293921511268122,0.08047561679204063,0.048599567650689686,0.5476190476190477,0.2329953066858315,0.20839316412175146,0.10228359241441572,0.6130952380952381,-0.08395451176960905,0.42857142857142855,44
top-100 today,"20% dip, 2019-2026 only",395,0.006279134290994383,0.008667996407829448,0.007997687422899025,0.5518987341772152,0.04486747653483883,0.03601656008804599,0.02463890657663192,0.589873417721519,0.11592597717802823,0.09293395961114959,0.04366721392095981,0.5417721518987342,0.19207406553761966,0.13816648705838896,0.0791110673008667,0.4911392405063291,0.33068562281237673,0.22046370967741935,0.1262961461690521,0.4607594936708861,-0.111706102117061,0.5164556962025316,79
top-100 today,"20% dip, excluding 2020 and 2022",381,0.02423796084903678,0.022535697946778455,0.012629171759372051,0.5853018372703412,0.04485800290624852,0.035646340242315055,0.02056619586138294,0.5590551181102362,0.10293938334824523,0.09293395961114959,0.04611721334062424,0.5853018372703412,0.1593577403856089,0.1293645107283321,0.07252973718578332,0.5170603674540682,0.2636553030301765,0.2025297998760618,0.11424708219712074,0.48556430446194226,-0.08260688588927878,0.41732283464566927,100
fallen/lagging control,"control: strong stock, within 5% of its high (all days)",20739,0.002235859235317263,0.0032357223750201225,0.0003933839779051255,0.5105357056752977,0.009215943973812573,0.00913003782444255,0.0009957323476081936,0.49472009257919863,0.03093291829310598,0.021001072034778967,0.006544004284260252,0.4775061478374078,0.06453037283768638,0.04427044255729984,0.009732452980782569,0.45981001976951635,0.12951449929361822,0.074678615245106,0.01520633758631212,0.4300110902165003,-0.07079646017699115,0.3592747962775447,165
fallen/lagging control,"control: strong stock, any day",57403,0.0036349571906961614,0.0031507089095046403,0.000860284635644431,0.49659425465568,0.012557577512620387,0.008013082583810283,0.0014745065265694228,0.48204797658658954,0.03259455014302332,0.017190741612845728,0.0016578199339242173,0.4503423166036618,0.055406144111889113,0.02482379529961687,-0.0028151859388429175,0.4117729038551992,0.1031230388579631,0.021119434040782314,-0.013716731593399952,0.34529554204484086,-0.09031988291867032,0.46117798721321185,165
fallen/lagging control,"strong stock, 10% below 52w high",783,0.006151148912667873,0.0022230838408371367,0.0014715875538249535,0.4763729246487867,0.012299910817405306,0.008891928864569243,-0.0011383470466556,0.4789272030651341,0.040322220690747174,0.020262667057173278,0.005219593014464778,0.4521072796934866,0.06700213606752944,0.011579386605466313,0.0020418885734273867,0.40102171136653897,0.10123973388185137,-0.00955929298067626,-0.022275454699864975,0.2988505747126437,-0.10900102784983612,0.5274584929757343,163
fallen/lagging control,"strong stock, 10% below 52w high, high set <60d ago",457,0.008964230457399207,0.004867442808990541,0.004079112857101084,0.5032822757111597,0.019317517983883353,0.010791366906474753,0.005827189335784095,0.4814004376367615,0.04650827132034121,0.016383345651638237,0.0080472363268871,0.44638949671772427,0.09882744470806723,0.041550603528319296,0.026166737328977566,0.424507658643326,0.16472364553851218,0.015587114651887779,0.02941151249029064,0.32166301969365424,-0.10674387013978176,0.5229759299781181,139
fallen/lagging control,"strong stock, 15% below 52w high",550,0.006180286336562918,0.003971373019484581,0.002048053480824962,0.49454545454545457,0.017484723230231803,0.009221311475409832,0.005291127339044476,0.48363636363636364,0.05096335114844848,0.01306299595895688,0.013248237270334447,0.43454545454545457,0.0639882820325046,-0.007072135785007205,-0.0006467726281635126,0.38545454545454544,0.10375912977591562,-0.024991996798373828,-0.018580556366529243,0.2781818181818182,-0.1184630888889674,0.5636363636363636,146
