date,equity,cash,n_pos
2023-12-01,11442.17126934575,3069.9612693457507,3
2023-12-04,11200.04376934575,5395.133769345751,2
2023-12-05,11296.67376934575,17.18376934575099,3
2023-12-06,11124.873769345751,17.18376934575099,3
2023-12-07,11256.15376934575,17.18376934575099,3
2023-12-08,11289.540282201506,910.4902822015061,3
2023-12-11,11388.990282201506,140.92028220150678,4
2023-12-12,11471.260282201505,140.92028220150678,4
2023-12-13,11537.970282201506,140.92028220150678,4
2023-12-14,11323.845602201507,61.895602201506335,4
2023-12-15,11558.868782201507,1336.898782201506,4
2023-12-18,11620.849942201505,342.6799422015056,5
2023-12-19,11718.579942201504,342.6799422015056,5
2023-12-20,11535.912442201505,342.6799422015056,5
2023-12-21,11687.579942201504,4014.8599422015054,4
2023-12-22,11666.637442201505,30.064942201505346,5
2023-12-26,11796.208942201505,30.064942201505346,5
2023-12-27,11817.941942201505,30.064942201505346,5
2023-12-28,11813.481942201504,30.064942201505346,5
2023-12-29,11766.334442201503,30.064942201505346,5
2024-01-02,11488.907004201505,3922.107004201505,4
2024-01-03,11405.674504201503,5087.154504201503,2
2024-01-04,11280.6745042015,1915.294504201503,3
2024-01-05,11255.845304201506,1182.4757042015035,3
2024-01-08,11596.688904201505,188.59890420150464,5
2024-01-09,11556.758904201502,188.59890420150464,5
2024-01-10,11598.168904201504,188.59890420150464,5
2024-01-11,11662.938904201505,188.59890420150464,5
2024-01-12,11612.979704201505,1828.2447042015046,5
2024-01-16,11759.117064201506,6055.487064201505,4
2024-01-17,11691.562064201504,4325.297064201504,4
2024-01-18,11846.597064201504,63.79706420150433,5
2024-01-19,12125.66022143162,832.2952214316214,5
2024-01-22,12101.555221431621,832.2952214316214,5
2024-01-23,12316.225221431621,832.2952214316214,5
2024-01-24,12384.547221431621,3061.712221431622,5
2024-01-25,12543.822221431623,3061.712221431622,5
2024-01-26,12533.978723440187,4672.648723440187,5
2024-01-29,12592.198723440186,4672.648723440187,5
2024-01-30,12545.218723440186,4672.648723440187,5
2024-01-31,12247.538723440188,1297.7987234401862,5
2024-02-01,12043.818723440188,523.8887234401873,5
2024-02-02,12435.068723440188,523.8887234401873,5
2024-02-05,12445.895273440186,3637.3602734401866,5
2024-02-06,12271.150273440187,3637.3602734401866,5
2024-02-07,12398.915273440187,3637.3602734401866,5
2024-02-08,12507.985273440187,2804.0402734401864,5
2024-02-09,12590.545273440186,2804.0402734401864,5
2024-02-12,12576.860273440187,2804.0402734401864,5
2024-02-13,12325.590273440186,2804.0402734401864,5
2024-02-14,12523.240273440186,769.2002734401867,5
2024-02-15,12607.685273440187,769.2002734401867,5
2024-02-16,12442.610273440187,769.2002734401867,5
2024-02-20,12292.345273440187,769.2002734401867,5
2024-02-21,12292.615273440188,468.06027344018685,5
2024-02-22,12607.520273440186,468.06027344018685,5
2024-02-23,12606.115273440188,468.06027344018685,5
2024-02-26,12650.798273440187,997.5682734401869,5
2024-02-27,12622.115773440188,997.5682734401869,5
2024-02-28,12623.927893440188,2993.900393440187,5
2024-02-29,12653.64039344019,2993.900393440187,5
2024-03-01,13033.970393440188,2993.900393440187,5
2024-03-04,13050.845393440188,2993.900393440187,5
2024-03-05,12808.687893440187,2993.900393440187,5
2024-03-06,12886.455393440188,2993.900393440187,5
2024-03-07,13079.565393440185,2993.900393440187,5
2024-03-08,12730.992893440187,2993.900393440187,5
2024-03-11,12590.990393440188,4811.810393440187,4
2024-03-12,12693.910393440185,1788.0003934401848,3
2024-03-13,12704.030393440185,25.81289344018478,4
2024-03-14,12789.047893440185,25.81289344018478,4
2024-03-15,12484.443993440182,87.30149344018446,4
2024-03-18,12591.271493440185,1071.1214934401846,3
2024-03-19,12638.471493440185,1071.1214934401846,3
2024-03-20,12856.346493440185,1071.1214934401846,3
2024-03-21,13396.441353440187,21.14735344018527,5
2024-03-22,13434.232353440184,21.14735344018527,5
2024-03-25,13537.904353440186,21.14735344018527,5
2024-03-26,13537.840853440186,21.14735344018527,5
2024-03-27,13502.089853440186,21.14735344018527,5
2024-03-28,13446.304853440186,75.55485344018507,4
2024-04-01,13580.390853440183,57.5408534401854,4
2024-04-02,13395.940853440186,57.5408534401854,4
2024-04-03,13657.840853440184,57.5408534401854,4
2024-04-04,13394.240853440186,57.5408534401854,4
2024-04-05,13564.520853440185,3840.800853440185,3
2024-04-08,13494.998853440185,121.02085344018542,4
2024-04-09,13515.222853440184,4143.352853440185,3
2024-04-10,13399.969623440185,3841.169623440185,3
2024-04-11,13757.666623440187,1438.9446234401858,3
2024-04-12,13438.993623440187,1438.9446234401858,3
2024-04-15,12993.518015440186,13.190015440185562,4
2024-04-16,12982.386015440185,3617.366015440185,3
2024-04-17,12711.158015440185,125.2800154401848,4
2024-04-18,12661.069015440185,4550.593015440186,2
2024-04-19,12456.561015440184,829.3410154401854,2
2024-04-22,12284.706015440184,1648.7060154401843,2
2024-04-23,12447.966015440183,70.40601544018409,3
2024-04-24,12724.106015440182,488.486015440184,4
2024-04-25,12610.656015440187,40.82601544018462,4
2024-04-26,12583.846015440186,40.82601544018462,4
2024-04-29,12570.666015440185,3784.8260154401846,3
2024-04-30,12427.958635440185,135.75863544018466,3
2024-05-01,12398.298635440186,48.39863544018408,3
2024-05-02,12455.898635440184,48.39863544018408,3
2024-05-03,12409.382635440183,59.02263544018433,4
2024-05-06,12521.622635440184,59.02263544018433,4
2024-05-07,12624.722635440185,59.02263544018433,4
2024-05-08,12556.502635440183,59.02263544018433,4
2024-05-09,12648.802635440185,59.02263544018433,4
2024-05-10,12667.342635440185,1738.1226354401842,3
2024-05-13,12617.942635440184,1738.1226354401842,3
2024-05-14,12687.442635440184,1738.1226354401842,3
2024-05-15,12859.762635440184,1738.1226354401842,3
2024-05-16,12882.176935440184,1085.8569354401852,4
2024-05-17,12872.736935440185,1085.8569354401852,4
2024-05-20,12848.390935440182,30.200935440183457,4
2024-05-21,12811.330935440183,47.30093544018382,4
2024-05-22,12808.500935440185,47.30093544018382,4
2024-05-23,12725.290935440184,47.30093544018382,4
2024-05-24,12791.900935440186,47.30093544018382,4
2024-05-28,12649.218435440183,3406.900935440184,4
2024-05-29,12598.503435440183,3406.900935440184,4
2024-05-30,12540.155935440183,115.45093544018437,4
2024-05-31,12608.368435440183,2863.1509354401846,3
2024-06-03,12510.830935440184,114.8809354401842,4
2024-06-04,12467.899335440183,4.582535440184529,4
2024-06-05,12516.247735440184,4.582535440184529,4
2024-06-06,12418.525335440185,73.54253544018502,4
2024-06-07,12480.521735440185,4091.0425354401846,3
2024-06-10,12513.406135440186,735.4125354401849,4
2024-06-11,12499.078535440185,735.4125354401849,4
2024-06-12,12666.563335440183,735.4125354401849,4
2024-06-13,12600.435735440184,1306.5725354401848,4
2024-06-14,12543.680535440184,1306.5725354401848,4
2024-06-17,12610.489357040184,117.88855704018442,4
2024-06-18,12724.897757040184,117.88855704018442,4
2024-06-20,12580.853757040182,117.88855704018442,4
2024-06-21,12717.232557040184,91.77855704018384,4
2024-06-24,12646.756557040182,91.77855704018384,4
2024-06-25,12896.855157040183,173.28795704018376,5
2024-06-26,12880.895157040182,173.28795704018376,5
2024-06-27,12903.313957040185,173.28795704018376,5
2024-06-28,12734.967957040184,837.3879570401837,4
2024-07-01,12689.135157040184,837.3879570401837,4
2024-07-02,12811.733357040182,49.57635704018412,4
2024-07-03,12887.388357040185,49.57635704018412,4
2024-07-05,13201.558697040184,1668.3906970401845,4
2024-07-08,13152.927697040184,1668.3906970401845,4
2024-07-09,13171.042697040186,17.450697040184423,5
2024-07-10,13181.716457040184,1600.106457040184,4
2024-07-11,12735.621267040184,636.6562670401845,4
2024-07-12,12734.032267040186,1453.096267040184,3
2024-07-15,12854.452267040182,72.58626704018434,4
2024-07-16,12802.402267040186,225.04626704018483,5
2024-07-17,12415.496551040185,12415.496551040185,0
2024-07-18,12309.696551040186,3915.9965510401853,1
2024-07-19,12281.096551040186,12281.096551040186,0
2024-07-22,12236.316551040187,3026.0465510401864,2
2024-07-23,12253.516551040186,1040.9265510401865,3
2024-07-24,12049.292071040187,914.092071040186,2
2024-07-25,11810.897423012359,3696.8274230123593,2
2024-07-26,11828.80742301236,22.427423012359213,3
2024-07-29,11756.477423012358,22.427423012359213,3
2024-07-30,11901.567423012359,22.427423012359213,3
2024-07-31,11923.77742301236,22.427423012359213,3
2024-08-01,11838.360923012358,1972.6709230123588,3
2024-08-02,11645.57617301236,5533.856173012358,2
2024-08-05,11444.985253012357,8551.755253012358,1
2024-08-06,11418.425253012356,3864.015253012357,3
