date,equity,cash,n_pos
2022-07-27,3047.6858308859983,2060.8658308859985,1
2022-07-28,3053.2658308859986,2060.8658308859985,1
2022-07-29,3049.9358308859983,2060.8658308859985,1
2022-08-01,3033.3158308859984,2060.8658308859985,1
2022-08-02,3042.4358308859983,3042.4358308859983,0
2022-08-03,3042.4358308859983,3042.4358308859983,0
2022-08-04,3042.4358308859983,3042.4358308859983,0
2022-08-05,3042.4358308859983,3042.4358308859983,0
2022-08-08,3035.8158308859984,1962.6158308859983,1
2022-08-09,3037.135830885998,1962.6158308859983,1
2022-08-10,3038.055830885998,1962.6158308859983,1
2022-08-11,3020.085830885999,836.1158308859983,2
2022-08-12,3067.1158308859985,836.1158308859983,2
2022-08-15,3078.3558308859983,836.1158308859983,2
2022-08-16,3070.545830885999,836.1158308859983,2
2022-08-17,3051.385830885998,836.1158308859983,2
2022-08-18,3072.6158308859985,836.1158308859983,2
2022-08-19,3046.485830885998,236.33583088599835,3
2022-08-22,3004.2558308859984,1327.4358308859983,2
2022-08-23,2996.3329308859984,2996.3329308859984,0
2022-08-24,2995.072930885998,974.4229308859983,2
2022-08-25,3008.4329308859988,95.42293088599831,3
2022-08-26,2965.9629308859985,429.6729308859983,3
2022-08-29,2941.7329308859985,2941.7329308859985,0
2022-08-30,2941.7329308859985,2941.7329308859985,0
2022-08-31,2941.7329308859985,2941.7329308859985,0
2022-09-01,2941.7329308859985,2941.7329308859985,0
2022-09-02,2913.152930885999,78.93293088599853,3
2022-09-06,2880.412930885999,98.02293088599845,3
2022-09-07,2834.344180885999,1704.6641808859986,1
2022-09-08,2844.6241808859986,743.8341808859986,2
2022-09-09,2883.2941808859987,68.19418088599866,3
2022-09-12,2905.561780885999,634.2917808859987,3
2022-09-13,2848.8452008859986,1619.8852008859985,2
2022-09-14,2892.1252008859983,1619.8852008859985,2
2022-09-15,2861.495200885998,1619.8852008859985,2
2022-09-16,2851.0252008859984,2285.3752008859983,1
2022-09-19,2851.8852008859985,1269.2152008859985,2
2022-09-20,2825.6880808859983,2265.3380808859984,1
2022-09-21,2820.788080885998,2265.3380808859984,1
2022-09-22,2815.6380808859985,2265.3380808859984,1
2022-09-23,2790.788080885998,2790.788080885998,0
2022-09-26,2790.788080885998,2790.788080885998,0
2022-09-27,2790.788080885998,2790.788080885998,0
2022-09-28,2790.788080885998,2790.788080885998,0
2022-09-29,2790.788080885998,2790.788080885998,0
2022-09-30,2790.788080885998,2790.788080885998,0
2022-10-03,2790.788080885998,2790.788080885998,0
2022-10-04,2792.408080885998,1802.738080885998,1
2022-10-05,2798.078080885998,1802.738080885998,1
2022-10-06,2801.588080885998,1802.738080885998,1
2022-10-07,2782.718080885998,1802.738080885998,1
2022-10-10,2774.408080885998,1802.738080885998,1
2022-10-11,2781.278080885998,912.998080885998,2
2022-10-12,2760.3335808859983,1786.623580885998,1
2022-10-13,2785.6235808859983,899.7035808859981,2
2022-10-14,2773.503580885998,899.7035808859981,2
2022-10-17,2789.043580885998,899.7035808859981,2
2022-10-18,2805.303580885998,899.7035808859981,2
2022-10-19,2774.3138508859984,2774.3138508859984,0
2022-10-20,2774.3138508859984,2774.3138508859984,0
2022-10-21,2774.3138508859984,2774.3138508859984,0
2022-10-24,2793.2838508859986,2056.1338508859985,1
2022-10-25,2803.4638508859985,2056.1338508859985,1
2022-10-26,2790.1138508859985,2056.1338508859985,1
2022-10-27,2781.0138508859986,2056.1338508859985,1
2022-10-28,2806.8938508859983,2056.1338508859985,1
2022-10-31,2804.8838508859985,2056.1338508859985,1
2022-11-01,2817.1088108859985,2817.1088108859985,0
2022-11-02,2817.1088108859985,2817.1088108859985,0
2022-11-03,2817.1088108859985,2817.1088108859985,0
2022-11-04,2817.1088108859985,2817.1088108859985,0
2022-11-07,2826.9788108859984,2076.0488108859986,1
2022-11-08,2833.4188108859985,129.16881088599848,3
2022-11-09,2821.7388108859986,129.16881088599848,3
2022-11-10,2841.2588108859986,129.16881088599848,3
2022-11-11,2787.4732208859987,105.46322088599845,3
2022-11-14,2764.7345008859984,1221.4645008859984,2
2022-11-15,2752.5245008859983,188.3345008859983,3
2022-11-16,2712.9645008859984,198.1045008859984,3
2022-11-17,2759.3345008859983,198.1045008859984,3
2022-11-18,2769.794500885998,198.1045008859984,3
2022-11-21,2770.6202708859983,55.64027088599835,3
2022-11-22,2792.7802708859986,55.64027088599835,3
2022-11-23,2784.9802708859984,55.64027088599835,3
2022-11-25,2786.720270885998,55.64027088599835,3
2022-11-28,2796.0835708859986,594.4135708859983,3
2022-11-29,2798.6635708859985,594.4135708859983,3
2022-11-30,2827.6935708859983,1233.4535708859983,2
2022-12-01,2833.893570885998,1233.4535708859983,2
2022-12-02,2838.3435708859984,1233.4535708859983,2
2022-12-05,2832.603570885998,1233.4535708859983,2
2022-12-06,2817.063570885998,1233.4535708859983,2
2022-12-07,2799.2435708859985,252.2135708859987,3
2022-12-08,2819.863570885999,252.2135708859987,3
2022-12-09,2767.8135708859986,252.2135708859987,3
2022-12-12,2806.883570885999,147.67357088599852,3
2022-12-13,2849.0202908859983,1206.1502908859984,3
2022-12-14,2853.4602908859983,972.9702908859983,3
2022-12-15,2814.9102908859986,1535.4902908859983,2
2022-12-16,2803.2902908859983,2257.2902908859983,1
2022-12-19,2805.010290885998,1211.3102908859983,2
2022-12-20,2812.341290885998,92.43229088599833,3
2022-12-21,2858.144290885998,92.43229088599833,3
2022-12-22,2794.219972885998,1191.6499728859983,2
2022-12-23,2799.5999728859983,83.80997288599838,3
2022-12-27,2806.9099728859987,83.80997288599838,3
2022-12-28,2782.2199728859982,83.80997288599838,3
2022-12-29,2799.019972885998,158.41997288599828,3
2022-12-30,2796.6299728859985,158.41997288599828,3
2023-01-03,2773.4199728859985,158.41997288599828,3
2023-01-04,2784.0399728859984,142.19997288599825,3
2023-01-05,2769.759972885998,142.19997288599825,3
2023-01-06,2831.2799728859986,184.7599728859982,3
2023-01-09,2786.204772885998,684.9847728859983,3
2023-01-10,2802.964772885998,1237.7847728859983,2
2023-01-11,2797.2447728859984,1237.7847728859983,2
2023-01-12,2816.044772885998,124.68477288599843,3
2023-01-13,2833.3047728859983,124.68477288599843,3
2023-01-17,2787.2247728859984,124.68477288599843,3
2023-01-18,2768.8047728859983,2263.1647728859984,1
2023-01-19,2754.6647728859984,2263.1647728859984,1
2023-01-20,2781.6947728859986,1.4047728859987956,3
2023-01-23,2800.2847728859983,1.4047728859987956,3
2023-01-24,2805.146482885999,1348.7364828859988,2
2023-01-25,2810.8864828859987,245.93648288599866,3
2023-01-26,2813.5364828859992,245.93648288599866,3
2023-01-27,2789.686482885999,245.93648288599866,3
2023-01-30,2763.7564828859986,1715.5564828859988,1
2023-01-31,2777.0764828859988,1715.5564828859988,1
2023-02-01,2790.099602885998,145.6796028859983,3
2023-02-02,2720.9798728859982,606.2998728859983,3
2023-02-03,2708.3798728859983,606.2998728859983,3
2023-02-06,2694.5998728859986,606.2998728859983,3
2023-02-07,2708.6898728859983,924.2898728859981,2
2023-02-08,2690.269872885998,924.2898728859981,2
2023-02-09,2675.979872885998,25.409872885998084,3
2023-02-10,2716.2698728859978,886.1298728859981,2
2023-02-13,2718.859872885998,26.52987288599809,3
2023-02-14,2692.359872885998,26.52987288599809,3
2023-02-15,2695.5598728859977,26.52987288599809,3
2023-02-16,2665.419872885998,763.5298728859981,2
2023-02-17,2621.849872885998,763.5298728859981,2
2023-02-21,2599.0598728859977,1760.819872885998,1
2023-02-22,2606.325872885998,574.2353728859975,2
2023-02-23,2596.5958728859973,84.30137288599752,3
2023-02-24,2547.220491385998,1545.2204913859978,1
