version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,days_held,partial_taken,exit_reason
A,COST,2019-08-01,2019-08-02,279.72,273.4570560222491,19,118.99593557726752,-102.9800000000003,-0.8654077090988742,1,False,close_below_ema20
A,SYK,2019-08-01,2019-08-05,214.37,208.30149,12,72.82212000000004,-72.82212000000004,-1.0,2,False,stop
A,MCD,2019-08-02,2019-08-06,213.13,209.16063,31,123.05046999999993,-81.52999999999986,-0.662573657784484,2,False,close_below_ema20
A,SYK,2019-08-07,2019-08-15,211.33,204.04575,9,65.55825000000013,10.799999999999898,0.16473899166008665,6,False,close_below_ema20
A,SBUX,2019-08-06,2019-08-21,95.52,92.93697,46,118.81937999999971,34.5,0.29035667413851246,11,False,time_stop_10d
A,LMT,2019-08-07,2019-08-26,366.89,354.9960347867226,10,118.93965213277397,131.10000000000014,1.1022396454771148,13,False,time_stop_10d
A,SBUX,2019-08-23,2019-08-26,96.85,95.49441,46,62.357139999999646,-67.61999999999995,-1.0843986751156376,1,False,close_below_ema20
A,ICE,2019-08-19,2019-09-04,92.55,89.17074000000001,22,74.34371999999973,36.08000000000001,0.48531335262750025,11,False,time_stop_10d
A,SBUX,2019-08-27,2019-09-04,96.7,94.29561,50,120.21950000000032,-120.21950000000032,-1.0,5,False,stop
A,FISV,2019-08-27,2019-09-10,107.19,104.23566000000001,31,91.58453999999962,-91.58453999999962,-1.0,9,False,stop
A,V,2019-09-04,2019-09-10,181.25,174.84335046179498,19,121.72634122589531,-121.72634122589531,-1.0,4,False,stop
A,SPGI,2019-06-05,2019-09-11,204.6925,198.93996090000002,16,92.04062559999966,370.5591999999999,4.026039562251751,68,True,close_below_ema20
A,PG,2019-09-11,2019-09-16,121.18,119.46042,39,67.0636200000003,-67.0636200000003,-1.0,3,False,stop
A,QCOM,2019-09-04,2019-09-19,76.99,72.44748,26,118.1055199999999,58.5,0.4953197784489671,11,False,time_stop_10d
A,TXN,2019-09-05,2019-09-20,126.75,120.91656507269045,10,58.33434927309554,15.500000000000114,0.26570965808559877,11,False,time_stop_10d
A,FISV,2019-09-19,2019-09-23,105.0,101.23866000000001,20,75.2267999999998,-32.40000000000009,-0.43069757054666924,2,False,close_below_ema20
A,TXN,2019-09-24,2019-09-25,128.77,126.09378,26,69.58172000000039,-90.22000000000034,-1.2966049128995352,1,False,close_below_ema20
A,LMT,2019-09-11,2019-09-26,381.32,370.08954,10,112.30459999999994,99.30000000000007,0.884202428039458,11,False,time_stop_10d
A,DHR,2019-09-18,2019-09-30,126.516,121.23837461147093,11,58.05387927381982,-4.6816000000000315,-0.08064232844662393,8,False,close_below_ema20
A,MSFT,2019-09-26,2019-09-30,139.96,135.89397,28,113.84884000000034,-53.479999999999905,-0.4697456732980305,2,False,close_below_ema20
A,PLD,2019-09-16,2019-10-01,85.14,82.04803936813309,38,117.49450401094262,4.179999999999978,0.03557613213645025,11,False,time_stop_10d
A,C,2019-09-25,2019-10-02,69.57,67.49244,47,97.64531999999959,-85.06999999999944,-0.8712143090933575,5,False,close_below_ema20
A,MDT,2019-09-30,2019-10-02,108.52,106.17372,48,112.62143999999967,-19.19999999999959,-0.1704826363434853,2,False,close_below_ema20
A,AMAT,2019-10-01,2019-10-02,50.41,49.10085,65,85.09474999999969,-67.59999999999994,-0.7944085857235632,1,False,close_below_ema20
A,KLAC,2019-10-03,2019-10-09,15.75,15.347636999999999,288,115.88054400000033,-9.503999999999849,-0.08201549347231078,4,False,close_below_ema20
A,LRCX,2019-10-04,2019-10-09,23.017,22.494483,221,115.47625700000012,40.44299999999996,0.35022783947699243,3,False,close_below_ema20
A,PEP,2019-10-10,2019-10-15,138.17,136.69317,43,63.50368999999907,-63.50368999999907,-1.0,3,False,stop
A,TMO,2019-10-15,2019-10-17,286.72,272.74751752364176,8,111.77985981086613,-37.76000000000022,-0.3378068291004384,2,False,close_below_ema20
A,ICE,2019-10-07,2019-10-22,94.07,90.58129267101478,21,73.2628539086895,-16.79999999999994,-0.22931129629400557,11,False,close_below_ema20
A,HD,2019-10-09,2019-10-24,228.78,221.89788000000001,16,110.11391999999978,96.48000000000002,0.8761835015954406,11,False,time_stop_10d
A,LRCX,2019-10-22,2019-10-24,23.987,22.999977,118,116.46871399999966,148.4440000000003,1.274539701709085,2,False,close_below_ema20
A,ICE,2019-10-24,2019-10-25,93.27,91.66824000000001,60,96.10559999999907,-26.399999999999864,-0.2746978323843784,1,False,close_below_ema20
A,NEE,2019-10-17,2019-11-04,57.585,56.588355,102,101.65779000000009,101.65779000000009,1.0,12,True,breakeven_stop
A,TMUS,2019-11-06,2019-11-11,81.85,80.36955,70,103.63149999999933,-88.19999999999936,-0.8510925732040927,3,False,close_below_ema20
A,KLAC,2019-10-24,2019-11-21,16.4,15.811173,198,116.5877459999997,116.5877459999997,1.0,20,True,breakeven_stop
A,BX,2019-11-11,2019-11-21,51.91,51.1488,109,82.97079999999949,-38.14999999999938,-0.45980031529164017,8,False,close_below_ema20
A,BMY,2019-11-21,2019-11-25,57.13,55.244699999999995,65,122.54450000000051,-13.650000000000055,-0.11138810799342279,2,False,close_below_ema20
A,DE,2019-11-22,2019-11-27,176.3,170.02823376284428,19,119.16355850595889,-148.20000000000022,-1.243668801587436,3,False,stop_gap
A,SPGI,2019-11-14,2019-12-02,245.667,236.6185881313768,7,63.338883080362336,36.688399999999945,0.579239768933893,11,False,time_stop_10d
A,LRCX,2019-11-27,2019-12-02,27.141,25.985988,105,121.27625999999992,-51.764999999999844,-0.42683539218640054,2,False,close_below_ema20
A,LIN,2019-10-25,2019-12-03,194.64,191.20860000000002,29,99.51059999999907,185.6291999999995,1.8654213721955375,26,True,close_below_ema20
A,TSLA,2019-12-02,2019-12-06,22.084,21.7848933,226,67.59811419999986,56.34180000000037,0.8334818310656437,4,False,close_below_ema20
A,ETN,2019-11-25,2019-12-11,91.37,89.06085,42,96.9843000000001,72.23999999999995,0.7448628283134474,11,False,time_stop_10d
A,SCHW,2019-12-26,2019-12-30,48.81,47.8521,96,91.95840000000021,-29.76000000000022,-0.3236245954692573,2,False,close_below_ema20
A,MA,2019-12-11,2019-12-31,290.17,281.5248465441267,13,112.38699492635288,77.09000000000009,0.685933457429991,13,False,time_stop_10d
A,AVGO,2020-01-02,2020-01-06,31.932,31.243724999999998,120,82.5930000000001,-101.63999999999973,-1.2306127637935371,2,False,close_below_ema20
A,BAC,2019-12-06,2020-01-08,33.68,32.77015622531022,130,118.27969070967178,176.12969070967182,1.4890949549572132,21,True,close_below_ema20
A,KLAC,2020-01-08,2020-01-10,17.777,17.391591,231,89.02947900000063,-89.02947900000063,-1.0,2,False,stop
A,BAC,2020-01-09,2020-01-13,35.3,34.35333688627708,66,62.47976550571272,-30.359999999999587,-0.4859173166586817,2,False,close_below_ema20
A,INTC,2020-01-10,2020-01-13,59.57,58.46148,67,74.27083999999991,-26.799999999999905,-0.3608414823368086,1,False,close_below_ema20
A,GE,2020-01-13,2020-01-22,59.361,57.7083339,75,123.94995749999981,-74.76000000000002,-0.6031466368191384,6,False,close_below_ema20
A,KLAC,2020-01-15,2020-01-27,17.822,17.177805,104,66.99627999999998,-66.99627999999998,-1.0,7,False,stop
A,T,2020-01-22,2020-01-27,29.2145,28.583546080696404,149,94.0121339762359,-74.2765,-0.790073545386975,3,False,close_below_ema20
A,VRTX,2020-01-06,2020-01-28,219.89,214.33545,17,94.42734999999962,166.63279999999978,1.7646666987901327,15,True,close_below_ema20
A,MS,2020-01-28,2020-01-30,53.8,52.80714,123,122.12178000000003,-146.36999999999972,-1.198557701992222,2,False,stop_gap
A,LRCX,2020-01-30,2020-01-31,31.84,30.329620298945756,81,122.3407557853938,-122.3407557853938,-1.0,1,False,stop
A,MDT,2019-12-30,2020-02-03,113.77,112.03785,41,71.0181499999996,115.06599999999975,1.6202337008215562,23,True,close_below_ema20
A,FISV,2020-01-30,2020-02-03,121.05,118.10178,41,120.87701999999967,-44.69000000000014,-0.3697146074580616,2,False,close_below_ema20
A,VRTX,2020-01-31,2020-02-03,238.65,230.14853220672896,12,102.01761351925256,-94.68000000000018,-0.9280750326720038,1,False,close_below_ema20
A,GOOGL,2020-02-03,2020-02-04,73.4835,71.240622990173,52,116.62960451100463,-116.62960451100463,-1.0,1,False,stop
A,BX,2020-02-04,2020-02-19,61.73,59.310629999999996,36,87.09732000000002,24.47999999999999,0.28106490532659306,10,False,close_below_ema20
A,AAPL,2020-02-04,2020-02-20,78.8275,75.47944500000001,35,117.18192499999958,64.04999999999994,0.5465860029181137,11,False,time_stop_10d
A,MS,2020-02-19,2020-02-20,55.96,54.885059999999996,58,62.3465200000003,-113.68000000000005,-1.8233575827487967,1,False,stop_gap
A,MSFT,2019-12-04,2020-02-24,150.14,146.50335,20,72.73299999999949,249.03299999999973,3.423934115188449,54,True,close_below_ema20
A,AMD,2020-02-04,2020-02-24,49.21,46.0539,37,116.77570000000009,94.04960000000005,0.805386737137949,13,True,stop_gap
A,LLY,2020-02-20,2020-02-24,141.84,140.21964000000003,42,68.05511999999902,-107.5200000000001,-1.5798958256190223,2,False,stop_gap
A,MA,2020-02-03,2020-02-25,324.46,313.0518659123252,10,114.08134087674796,-31.200000000000045,-0.2734890715713811,15,False,close_below_ema20
A,NFLX,2020-02-27,2020-02-28,38.2,35.843384304747595,49,115.474169067368,-115.474169067368,-1.0,1,False,stop
A,NOW,2020-03-03,2020-03-04,68.896,64.10878716900618,24,114.89310794385176,-37.152000000000044,-0.32336143276893703,1,False,close_below_ema20
A,NFLX,2020-03-03,2020-03-04,38.136,35.64432,46,114.61728000000011,-16.51400000000008,-0.14407949656456745,1,False,close_below_ema20
A,ADBE,2020-03-03,2020-03-04,361.76,340.03987183140214,5,108.60064084298926,-36.89999999999998,-0.3397770005183359,1,False,close_below_ema20
A,TMUS,2020-03-03,2020-03-04,93.36,88.32504293134585,22,110.76905551039133,-64.45999999999984,-0.5819314762862883,1,False,close_below_ema20
A,SPGI,2020-03-03,2020-03-04,275.5629,258.57873757823404,6,101.90497453059584,-35.42100000000005,-0.3475885270877065,1,False,close_below_ema20
A,COST,2020-03-05,2020-03-09,320.97,302.2347535185537,6,112.41147888867795,-150.72000000000003,-1.3407883384334738,2,False,stop_gap
A,TMUS,2020-05-28,2020-06-12,98.17,92.907,21,110.52300000000011,127.67999999999996,1.1552346570397096,11,False,time_stop_10d
A,TMO,2020-05-28,2020-06-12,340.94,324.02565000000004,6,101.48609999999974,9.479999999999905,0.09341180713417827,11,False,close_below_ema20
A,INTU,2020-05-28,2020-06-12,283.14,271.26846,9,106.84385999999984,6.930000000000348,0.06486100371140052,11,False,close_below_ema20
A,AMAT,2020-05-28,2020-06-12,56.44,53.26668,25,79.33299999999991,26.750000000000007,0.3371862906987009,11,False,close_below_ema20
A,PLD,2020-06-15,2020-06-22,95.12,90.7092,26,114.68080000000023,-85.8000000000003,-0.7481635984401933,5,False,close_below_ema20
A,SPGI,2020-06-15,2020-06-25,301.0596,289.6816284,10,113.77971599999967,1.5140000000002374,0.013306413948161391,8,False,close_below_ema20
A,ISRG,2020-06-15,2020-06-25,189.78,181.65816,14,113.70575999999988,-58.98620000000005,-0.5187617584192754,8,False,close_below_ema20
A,INTU,2020-06-22,2020-06-25,291.99,274.1066170520385,6,107.30029768776922,-34.440000000000055,-0.3209683546285795,3,False,close_below_ema20
A,LOW,2020-06-26,2020-06-29,132.12,128.84103,23,75.41631000000035,-40.25,-0.5337041814960161,1,False,close_below_ema20
A,AVGO,2020-06-15,2020-06-30,30.395,29.243727,58,66.773834,34.80000000000008,0.5211622265092654,11,False,time_stop_10d
A,REGN,2020-06-30,2020-07-14,621.93,598.11129,4,95.27483999999959,-25.399999999999636,-0.26659714149086733,9,False,close_below_ema20
A,NOW,2020-06-30,2020-07-14,80.598,77.02289999999999,29,103.67790000000018,-17.34199999999997,-0.16726804844619672,9,False,close_below_ema20
A,TMUS,2020-07-02,2020-07-14,106.95,103.74615,24,76.89240000000007,-81.12000000000023,-1.054980726313656,7,False,close_below_ema20
A,REGN,2020-07-15,2020-07-24,644.34,611.5878,3,98.25660000000005,-98.25660000000005,-1.0,7,False,stop
A,UNP,2020-07-14,2020-07-29,170.96,164.50533,18,116.18406000000039,62.639999999999816,0.539144526366178,11,False,time_stop_10d
A,TXN,2020-07-27,2020-07-29,131.97,127.98189,18,71.78597999999985,-18.719999999999857,-0.26077515414569663,2,False,close_below_ema20
A,NOW,2020-07-15,2020-07-30,84.578,78.39425370721663,19,117.491179562884,37.353999999999886,0.3179302492235782,11,False,time_stop_10d
A,GOOGL,2020-07-29,2020-07-31,76.3005,74.30512049999999,33,65.84752350000042,-65.84752350000042,-1.0,2,False,stop
A,SPGI,2020-07-29,2020-08-04,337.3415,324.7648101,9,113.19020910000017,-113.19020910000017,-1.0,4,False,stop
A,REGN,2020-07-30,2020-08-06,634.47,595.42398,2,78.09204,-11.180000000000064,-0.14316439934211048,5,False,close_below_ema20
A,MU,2020-08-04,2020-08-06,50.62,49.06089,73,113.81502999999978,-113.81502999999978,-1.0,2,False,stop
A,SPGI,2020-08-06,2020-08-07,331.0785,323.3565198,14,108.10772280000026,-108.10772280000026,-1.0,1,False,stop
A,AMZN,2020-05-28,2020-08-12,120.679,116.3835,26,111.6830000000001,563.0560000000002,5.041555115818877,53,True,close_below_ema20
A,NOW,2020-07-31,2020-08-12,87.72,82.83708,24,117.19007999999997,-64.60799999999983,-0.5513094623708752,8,False,close_below_ema20
A,AMAT,2020-08-07,2020-08-20,64.17,62.5374,73,119.17980000000026,117.54720000000026,0.9863013698630138,9,True,breakeven_stop
A,TMO,2020-08-12,2020-08-27,410.16,400.81878,10,93.41220000000021,89.11220000000014,0.9539674689173356,11,True,stop_gap
A,AMAT,2020-08-27,2020-08-28,64.29,61.85808,50,121.59600000000026,-111.5000000000002,-0.9169709529918744,1,False,close_below_ema20
A,DHR,2020-06-26,2020-09-04,152.8812,149.30974080000001,32,114.28669439999976,519.2514943999995,4.543411611702023,49,True,close_below_ema20
A,AMZN,2020-08-17,2020-09-04,158.912,153.49635,15,81.23474999999999,75.81909999999999,0.9333333333333333,14,True,breakeven_stop
A,V,2020-08-20,2020-09-04,202.84,195.57423,12,87.18924000000004,67.80000000000007,0.7776188896703313,11,False,time_stop_10d
A,TMO,2020-08-28,2020-09-04,423.82,405.65194836180933,6,109.00830982914397,-25.139999999999986,-0.2306246197138878,5,False,close_below_ema20
